Order ID,Product,Quantity Ordered,Price Each,Order,,Time,Purchase Address,,,,,Date
147268,Wired Headphones,1,11.99,01-01-2019,,03:07:00,"944 Walnut St, Boston, MA 02215",,,,,01/01/19
148041,USB-C Charging Cable,1,11.95,01-01-2019,,03:40:00,"185 Maple St, Portland, OR 97035",,,,,01/01/19
149343,Apple Airpods Headphones,1,150,01-01-2019,,04:56:00,"538 Adams St, San Francisco, CA 94016",,,,,01/01/19
149964,AAA Batteries (4-pack),1,2.99,01-01-2019,,05:53:00,"738 10th St, Los Angeles, CA 90001",,,,,01/01/19
149350,USB-C Charging Cable,2,11.95,01-01-2019,,06:03:00,"387 10th St, Austin, TX 73301",,,,,01/01/19
141732,iPhone,1,700,01-01-2019,,06:13:00,"775 Willow St, San Francisco, CA 94016",,,,,01/01/19
149620,Lightning Charging Cable,1,14.95,01-01-2019,,06:34:00,"979 Park St, Los Angeles, CA 90001",,,,,01/01/19
142451,AAA Batteries (4-pack),1,2.99,01-01-2019,,06:41:00,"181 6th St, San Francisco, CA 94016",,,,,01/01/19
146039,34in Ultrawide Monitor,1,379.99,01-01-2019,,07:24:00,"867 Willow St, Los Angeles, CA 90001",,,,,01/01/19
141316,AAA Batteries (4-pack),3,2.99,01-01-2019,,07:26:00,"657 Johnson St, San Francisco, CA 94016",,,,,01/01/19
143498,AA Batteries (4-pack),3,3.84,01-01-2019,,07:26:00,"492 Walnut St, San Francisco, CA 94016",,,,,01/01/19
144804,iPhone,1,700,01-01-2019,,07:29:00,"322 6th St, San Francisco, CA 94016",,,,,01/01/19
144804,Wired Headphones,1,11.99,01-01-2019,,07:29:00,"618 7th St, Los Angeles, CA 90001",,,,,01/01/19
145270,Google Phone,1,600,01-01-2019,,07:33:00,"512 Wilson St, San Francisco, CA 94016",,,,,01/01/19
142789,AAA Batteries (4-pack),1,2.99,01-01-2019,,07:35:00,"363 Spruce St, Austin, TX 73301",,,,,01/01/19
148088,Wired Headphones,1,11.99,01-01-2019,,07:37:00,"440 Cedar St, Portland, OR 97035",,,,,01/01/19
141364,AA Batteries (4-pack),1,3.84,01-01-2019,,07:46:00,"471 Center St, Los Angeles, CA 90001",,,,,01/01/19
149586,USB-C Charging Cable,1,11.95,01-01-2019,,07:47:00,"414 Walnut St, Boston, MA 02215",,,,,01/01/19
145878,Macbook Pro Laptop,1,1700,01-01-2019,,07:48:00,"220 9th St, Los Angeles, CA 90001",,,,,01/01/19
146056,Lightning Charging Cable,1,14.95,01-01-2019,,07:53:00,"385 11th St, Atlanta, GA 30301",,,,,01/01/19
144994,ThinkPad Laptop,1,999.99,01-01-2019,,08:13:00,"238 Sunset St, Seattle, WA 98101",,,,,01/01/19
142156,34in Ultrawide Monitor,1,379.99,01-01-2019,,08:16:00,"764 11th St, Los Angeles, CA 90001",,,,,01/01/19
150367,Lightning Charging Cable,1,14.95,01-01-2019,,08:25:00,"675 Washington St, Portland, OR 97035",,,,,01/01/19
149421,Wired Headphones,1,11.99,01-01-2019,,08:31:00,"338 Highland St, San Francisco, CA 94016",,,,,01/01/19
143763,Apple Airpods Headphones,1,150,01-01-2019,,08:44:00,"820 1st St, San Francisco, CA 94016",,,,,01/01/19
145082,AAA Batteries (4-pack),3,2.99,01-01-2019,,08:48:00,"920 Adams St, San Francisco, CA 94016",,,,,01/01/19
145990,AAA Batteries (4-pack),1,2.99,01-01-2019,,09:03:00,"293 Hill St, San Francisco, CA 94016",,,,,01/01/19
142193,27in FHD Monitor,1,149.99,01-01-2019,,09:08:00,"840 Lincoln St, Atlanta, GA 30301",,,,,01/01/19
